date,montant,station,nom_banque
2024-03-11,2191500,YATCHIKA,
2024-03-04,2929250,YATCHIKA,
2024-03-04,0,NKWEN,
2024-03-11,933500,BILONGUE,
2024-03-09,2425400,YATCHIKA,
2024-03-10,2343825,YATCHIKA,
2024-03-11,0,NKWEN,
2024-03-08,0,NKWEN,
2024-03-08,2323150,YATCHIKA,
2024-03-04,747800,NKOABANG,"AFRILAND YDE"
2024-03-01,7434480,NKOLAFAMBA,"AFRILAND YDE"
2024-03-08,1968600,ETOA,"AFRILAND YDE"
2024-03-09,8075050,NKOLAFAMBA,"AFRILAND YDE"
2024-03-03,2454450,NKOLNDA,"AFRILAND YDE"
2024-03-11,2284925,NKOLNDA,"AFRILAND YDE"
2024-03-08,3098925,NKOZOA,"AFRILAND YDE"
2024-03-05,603500,KRIBIPARC,"AFRILAND YDE"
2024-03-05,4261575,NKWEN,"AFRILAND YDE"
2024-03-02,2763400,11EMEARRET,"AFRILAND YDE"
2024-03-03,736500,KUMBA,"AFRILAND YDE"
2024-03-02,3014500,ODZA,"AFRILAND YDE"
2024-03-10,3174100,11EMEARRET,"AFRILAND YDE"
2024-03-09,2673500,ODZA,"AFRILAND YDE"
2024-03-06,258500,MABANDA,"AFRILAND YDE"
2024-03-11,589610,YAKOMBO,"AFRILAND YDE"
2024-03-01,7208625,BIS11EME,"AFRILAND YDE"
2024-03-09,5884000,BIS11EME,"AFRILAND YDE"
2024-03-07,2107225,MEHANDAN,"AFRILAND YDE"
2024-03-05,2926540,YASSA,"AFRILAND YDE"
2024-03-02,3095025,YASSASTADE,"AFRILAND YDE"
2024-03-10,1979760,YASSASTADE,"AFRILAND YDE"
2024-03-06,5151400,YATCHIKA,"AFRILAND YDE"
2024-03-09,2005500,YATCHIKA,"AFRILAND YDE"
2024-03-09,731200,NKOABANG,"AFRILAND YDE"
2024-03-05,1995000,ETOA,"AFRILAND YDE"
2024-03-06,6059720,NKOLAFAMBA,"AFRILAND YDE"
2024-03-08,2376850,NKOLNDA,"AFRILAND YDE"
2024-03-05,1810975,NKOZOA,"AFRILAND YDE"
2024-03-01,794500,KRIBIPARC,"AFRILAND YDE"
2024-03-02,3126850,NKWEN,"AFRILAND YDE"
2024-03-11,45800,KRIBIPARC,"AFRILAND YDE"
2024-03-10,2675000,NKWEN,"AFRILAND YDE"
2024-03-07,3376200,11EMEARRET,"AFRILAND YDE"
2024-03-10,609000,KUMBA,"AFRILAND YDE"
2024-03-07,2883400,ODZA,"AFRILAND YDE"
2024-03-02,91000,MABANDA,"AFRILAND YDE"
2024-03-03,1162925,BILONGUE,"AFRILAND YDE"
2024-03-06,3877000,BIS11EME,"AFRILAND YDE"
2024-03-04,2429550,MEHANDAN,"AFRILAND YDE"
2024-03-02,5393500,YASSA,"AFRILAND YDE"
2024-03-01,2355200,MFOMAKAP,"AFRILAND YDE"
